Universal,BT_n,fam_n
0001_or_2aKA,1958,1875
0001_or_2bKA,1881,1780
0005KA,1787,1692
0008KA,1772,1656
0015aKA,1941,1823
0015bKA,1926,1810
0045KA,2031,1944
0055KA,1939,1838
0056KA,1834,1748
0057aKA,1809,1723
0057bKA,1840,1744
0062aKA,1410,1336
0062bKA,1336,1258
0065_or_66KA,1787,1692
0067_or_68KA,1787,1692
0069KA,1754,1663
0070KA,1695,1605
0071KA,1679,1578
0072KA,1729,1644
0073KA,1840,1744
0074KA,1702,1627
0075KA,1809,1723
0084KA,1663,1579
0087KA,1473,1393
0088KA,1540,1452
0091KA,1466,1383
0093KA,1948,1855
0095aKA,1277,1194
0095bKA,1262,1188
0096KA,1278,1198
0101KA,1872,1777
0107aKA,1517,1437
0107bKA,1834,1748
0107cKA,1990,1887
0108KA,1541,1448
0110KA,1530,1441
0116KA,2226,2149
0121KA,1438,1369
0125KA,1265,1163
0126nKA,1500,1425
0144KA,1680,1583
0145KA,1697,1572
0147KA,1643,1503
0166KA,2021,1930
0173KA,1872,1780
0174KA,1840,1749
0175KA,1477,1403
0176KA,1545,1464
0177KA,1801,1692
0178KA,1779,1680
0179aKA,1730,1629
0179bKA,1770,1668
0179cKA,1783,1713
0183KA,1871,1769
0228KA,1993,1902
0229KA,1993,1902
0230aKA,1688,1579
0230bKA,1872,1780
0230cKA,1738,1640
0230dKA,1688,1579
0230eKA,1872,1780
0230fKA,1738,1640
0231aKA,1688,1579
0231bKA,995,909
0232KA,1588,1485
0237aKA,1766,1661
0238aKA,1781,1673
0238bKA,1608,1511
0238dKA,1377,1290
0239aKA,1580,1465
0239bKA,1387,1290
0239cKA,1550,1464
0240aKA,1485,1392
0245aKA,1835,1733
0245bKA,879,784
0247KA,1617,1535
0260KA,1609,1531
0276KA,1766,1661
0320KA,1529,1437
0328KA,2045,1958
0331aKA,2031,1944
0331bKA,2044,1967
0332KA,2037,1950
0344KA,2071,1968
0356KA,1946,1831
0357KA,1943,1826
0365KA,1956,1849
0386KA,2226,2149
0423KA,1470,1398
0439KA,1516,1423
0446KA,1603,1477
0454KA,1407,1322
0489KA,1870,1750
0493aKA,1515,1415
0493bKA,1457,1354
0504aKA,1381,1303
0504bKA,1348,1262
0506KA,329,252
0507KA,1297,1216
0511aKA,1788,1709
0511bKA,1753,1664
0513KA,2226,2149
0516KA,2226,2149
0517KA,1947,1854
0521KA,1627,1531
0564KA,1777,1686
0569KA,1993,1902
0572KA,2226,2149
0573KA,1745,1658
0577KA,1422,1317
0582KA,2226,2149
0612KA,1579,1469
0668KA,1541,1448
0798KA,1780,1679
0822KA,1237,1148
0837KA,1412,1320
0889aKA,2086,1979
0889bKA,2086,1979
0917aKA,1551,1448
0917bKA,1990,1887
0917cKA,1408,1331
0964aKA,1911,1805
0964bKA,1904,1797
0982KA,1108,1031
0983KA,1140,1057
1027aKA,1883,1770
1027bKA,1883,1770
1027cKA,1883,1770
1028aKA,1883,1770
1028bKA,1883,1770
1028cKA,1883,1770
1053KA,2226,2149
1111KA,1688,1579
1114KA,1003,910
1142aKA,1144,1048
1142bKA,1144,1048
1152KA,1426,1354
1163KA,1905,1825
1216KA,1838,1735
1267aKA,1548,1456
1267bKA,1548,1456
1334aKA,1367,1294
1334bKA,1333,1259
1334cKA,1311,1237
1341KA,1599,1502
1349KA,1638,1554
1372KA,1348,1244
1415KA,1595,1521
1427KA,1386,1297
1430KA,1404,1316
1431mKA,1744,1678
1431nKA,1744,1678
1434KA,1547,1463
1436KA,1628,1535
1499KA,1447,1344
1531KA,1469,1381
1534KA,1551,1448
1537KA,1003,910
1544KA,1543,1440
1545KA,1677,1587
1546aKA,1662,1561
1546bKA,1662,1561
1548aKA,2086,1979
1548bKA,2086,1979
1549KA,1990,1887
1550KA,1517,1437
1559KA,1675,1564
1560KA,1697,1598
1561KA,1776,1669
1586KA,1422,1341
1589KA,1453,1357
1591KA,1259,1162
1592KA,1274,1186
1593KA,1017,903
1610KA,1973,1854
1611KA,2031,1944
1612aKA,1649,1572
1612bKA,1614,1511
1612cKA,1699,1610
1612dKA,1648,1542
1621KA,1296,1175
1653KA,1761,1662
1667aKA,1012,915
1667bKA,1003,910
1741KA,1523,1443
1827KA,1386,1310
1994aKA,1451,1361
1994bKA,1550,1460
1994cKA,1553,1462
1994dKA,1550,1461
2012KA,1223,1134
sensitivity_no_tree_fam_control/batch01/0001_or_2aKA,2127,
sensitivity_no_tree_fam_control/batch01/0001_or_2bKA,2031,
sensitivity_no_tree_fam_control/batch01/0005KA,1933,
sensitivity_no_tree_fam_control/batch01/0008KA,1906,
sensitivity_no_tree_fam_control/batch01/0015aKA,2089,
sensitivity_no_tree_fam_control/batch01/0015bKA,2077,
sensitivity_no_tree_fam_control/batch01/0045KA,2207,
sensitivity_no_tree_fam_control/batch01/0055KA,2107,
sensitivity_no_tree_fam_control/batch01/0056KA,1986,
sensitivity_no_tree_fam_control/batch01/0057aKA,1947,
sensitivity_no_tree_fam_control/batch02/0057bKA,1986,
sensitivity_no_tree_fam_control/batch02/0062aKA,1514,
sensitivity_no_tree_fam_control/batch02/0062bKA,1433,
sensitivity_no_tree_fam_control/batch02/0065_or_66KA,1933,
sensitivity_no_tree_fam_control/batch02/0067_or_68KA,1933,
sensitivity_no_tree_fam_control/batch02/0069KA,1900,
sensitivity_no_tree_fam_control/batch02/0070KA,1836,
sensitivity_no_tree_fam_control/batch02/0071KA,1807,
sensitivity_no_tree_fam_control/batch02/0072KA,1868,
sensitivity_no_tree_fam_control/batch02/0073KA,1986,
sensitivity_no_tree_fam_control/batch03/0074KA,1833,
sensitivity_no_tree_fam_control/batch03/0075KA,1947,
sensitivity_no_tree_fam_control/batch03/0084KA,1802,
sensitivity_no_tree_fam_control/batch03/0087KA,1585,
sensitivity_no_tree_fam_control/batch03/0088KA,1656,
sensitivity_no_tree_fam_control/batch03/0091KA,1574,
sensitivity_no_tree_fam_control/batch03/0093KA,2115,
sensitivity_no_tree_fam_control/batch03/0095aKA,1366,
sensitivity_no_tree_fam_control/batch03/0095bKA,1351,
sensitivity_no_tree_fam_control/batch03/0096KA,1370,
sensitivity_no_tree_fam_control/batch04/0101KA,2027,
sensitivity_no_tree_fam_control/batch04/0107aKA,1635,
sensitivity_no_tree_fam_control/batch04/0107bKA,1986,
sensitivity_no_tree_fam_control/batch04/0107cKA,2159,
sensitivity_no_tree_fam_control/batch04/0108KA,1667,
sensitivity_no_tree_fam_control/batch04/0110KA,1642,
sensitivity_no_tree_fam_control/batch04/0116KA,2430,
sensitivity_no_tree_fam_control/batch04/0121KA,1546,
sensitivity_no_tree_fam_control/batch04/0125KA,1360,
sensitivity_no_tree_fam_control/batch04/0126nKA,1611,
sensitivity_no_tree_fam_control/batch05/0144KA,1806,
sensitivity_no_tree_fam_control/batch05/0145KA,1824,
sensitivity_no_tree_fam_control/batch05/0147KA,1765,
sensitivity_no_tree_fam_control/batch05/0166KA,2188,
sensitivity_no_tree_fam_control/batch05/0173KA,2023,
sensitivity_no_tree_fam_control/batch05/0174KA,1983,
sensitivity_no_tree_fam_control/batch05/0175KA,1595,
sensitivity_no_tree_fam_control/batch05/0176KA,1667,
sensitivity_no_tree_fam_control/batch05/0177KA,1935,
sensitivity_no_tree_fam_control/batch05/0178KA,1909,
sensitivity_no_tree_fam_control/batch06/0179aKA,1861,
sensitivity_no_tree_fam_control/batch06/0179bKA,1904,
